Year,Disease,WR Count,WR Rate per 100000,WR 5 Year Average Rate,ON Rate per 100000,ON 5 Year Average Rate
2015,AIDS,2,0.39,N/A,0.46,N/A
2015,Amebiasis,38,6.98,N/A,6.15,N/A
2015,Anaplasmosis,0,0,N/A,0,N/A
2015,Anthrax,0,0,N/A,0,N/A
2015,Babesiosis,0,0,N/A,0,N/A
2015,Blastomycosis,0,0,N/A,0,N/A
2015,Botulism,0,0,N/A,0.04,N/A
2015,Brucellosis,0,0,N/A,0.04,N/A
2015,Campylobacter enteritis,146,26.87,N/A,23.94,N/A
2015,Chancroid,0,0,N/A,0,N/A
2015,Chickenpox (Varicella),10,1.75,N/A,2.2,N/A
2015,Chlamydia,1434,250.95,N/A,289.65,N/A
2015,Cholera,0,0,N/A,0.01,N/A
2015,Creutzfeldt-Jakob Disease,1,0.19,N/A,0.08,N/A
2015,Cryptosporidiosis,14,2.5,N/A,2.87,N/A
2015,Cyclosporiasis,14,2.59,N/A,1.89,N/A
2015,Diphtheria,0,0,N/A,0,N/A
2015,Food Poisoning (all causes),0,0,N/A,0.3,N/A
2015,Carbapenemase-producing Enterobacteriaceae (CPE),0,0,N/A,0,N/A
2015,Encephalitis/Meningitis,14,2.5,N/A,2.98,N/A
2015,Giardiasis,53,9.78,N/A,10.15,N/A
2015,Gonorrhea,207,36.83,N/A,44.14,N/A
2015,"Group A Streptococcal disease, invasive",23,4.33,N/A,4.16,N/A
2015,"Group B Streptococcal disease, neonatal",2,0.34,N/A,0.29,N/A
2015,"Haemophilus influenzae disease, all types",0,0,N/A,0.07,N/A
2015,Hantavirus pulmonary syndrome,0,0,N/A,0,N/A
2015,Hemorrhagic fevers and Lassa fever,0,0,N/A,0,N/A
2015,Hepatitis A,1,0.19,N/A,0.52,N/A
2015,Hepatitis B (acute),1,0.19,N/A,0.6,N/A
2015,Hepatitis B (chronic),60,10.91,N/A,14.61,N/A
2015,Hepatitis C,119,21.83,N/A,32.07,N/A
2015,HIV,14,2.62,N/A,5.71,N/A
2015,Influenza,358,67.94,N/A,68.13,N/A
2015,Legionellosis,9,1.75,N/A,0.87,N/A
2015,Leprosy,0,0,N/A,0.04,N/A
2015,Listeriosis,1,0.2,N/A,0.45,N/A
2015,Lyme Disease,10,1.88,N/A,3.25,N/A
2015,Measles,0,0,N/A,0.15,N/A
2015,Tularemia,0,0,N/A,0.01,N/A
2015,Typhoid Fever/Paratyphoid Fever,2,0.35,N/A,0.82,N/A
2015,Verotoxin-producing E. coli,12,2.17,N/A,1.27,N/A
2015,Yersiniosis,9,1.63,N/A,1.68,N/A
2015,"Meningococcal disease, invasive",2,0.36,N/A,0.25,N/A
2015,Mpox,0,0,N/A,0,N/A
2015,Mumps,0,0,N/A,0.25,N/A
2015,Ophthalmia Neonatorum,0,0,N/A,0.02,N/A
2015,Paralytic Shellfish Poisoning,0,0,N/A,0,N/A
2015,Pertussis,32,5.74,N/A,5.2,N/A
2015,Poliomyelitis (polio) and Acute Flaccid Paralysis,0,0,N/A,0.02,N/A
2015,Powassan Virus,0,0,N/A,0,N/A
2015,Psittacosis/Ornithosis,0,0,N/A,0,N/A
2015,Q Fever,1,0.19,N/A,0.1,N/A
2015,Rabies,0,0,N/A,0,N/A
2015,Rubella,0,0,N/A,0,N/A
2015,"Rubella, congenital syndrome",0,0,N/A,0.01,N/A
2015,Salmonellosis,116,21.22,N/A,21.17,N/A
2015,Severe acute respiratory syndrome (SARS),0,0,N/A,0,N/A
2015,Shigellosis,8,1.42,N/A,1.89,N/A
2015,Smallpox,0,0,N/A,0,N/A
2015,"Streptococcus Pneumoniae, Invasive ",52,9.96,N/A,7.08,N/A
2015,Syphilis - Early Congenital,0,0,N/A,0.01,N/A
2015,Syphilis - Infectious,26,4.63,N/A,8.17,N/A
2015,Syphilis - Late Latent,23,4.32,N/A,4.22,N/A
2015,Tetanus,0,0,N/A,0.01,N/A
2015,Trichinosis,0,0,N/A,0.01,N/A
2015,Tuberculosis (active),13,2.41,N/A,4.31,N/A
2015,Tuberculosis (latent),311,56.57,N/A,59.07,N/A
2015,Syphilis - Other,3,0.57,N/A,0.41,N/A
2015,West Nile virus (WNv),1,0.19,N/A,0.25,N/A
2016,AIDS,3,0.56,N/A,0.48,N/A
2016,Amebiasis,29,5.24,N/A,6.02,N/A
2016,Anaplasmosis,0,0,N/A,0,N/A
2016,Anthrax,0,0,N/A,0,N/A
2016,Babesiosis,0,0,N/A,0,N/A
2016,Blastomycosis,0,0,N/A,0.01,N/A
2016,Botulism,0,0,N/A,0,N/A
2016,Brucellosis,0,0,N/A,0.02,N/A
2016,Campylobacter enteritis,125,22.56,N/A,24.65,N/A
2016,Chancroid,0,0,N/A,0,N/A
2016,Chickenpox (Varicella),12,2.08,N/A,2,N/A
2016,Chlamydia,1580,269.79,N/A,306.9,N/A
2016,Cholera,0,0,N/A,0,N/A
2016,Creutzfeldt-Jakob Disease,0,0,N/A,0.05,N/A
2016,Cryptosporidiosis,17,2.94,N/A,3.15,N/A
2016,Cyclosporiasis,8,1.43,N/A,1.99,N/A
2016,Diphtheria,0,0,N/A,0,N/A
2016,Food Poisoning (all causes),2,0.35,N/A,0.15,N/A
2016,Carbapenemase-producing Enterobacteriaceae (CPE),0,0,N/A,0,N/A
2016,Encephalitis/Meningitis,26,4.6,N/A,3.16,N/A
2016,Giardiasis,34,6.19,N/A,8.86,N/A
2016,Gonorrhea,233,40.35,N/A,49.82,N/A
2016,"Group A Streptococcal disease, invasive",22,4.07,N/A,5.07,N/A
2016,"Group B Streptococcal disease, neonatal",1,0.17,N/A,0.36,N/A
2016,"Haemophilus influenzae disease, all types",0,0,N/A,0.03,N/A
2016,Hantavirus pulmonary syndrome,0,0,N/A,0,N/A
2016,Hemorrhagic fevers and Lassa fever,0,0,N/A,0,N/A
2016,Hepatitis A,6,1.01,N/A,0.74,N/A
2016,Hepatitis B (acute),7,1.25,N/A,0.74,N/A
2016,Hepatitis B (chronic),72,12.97,N/A,14.52,N/A
2016,Hepatitis C,119,21.41,N/A,32.19,N/A
2016,HIV,19,3.44,N/A,6.12,N/A
2016,Influenza,471,84.74,N/A,102.09,N/A
2016,Legionellosis,10,1.87,N/A,1,N/A
2016,Leprosy,1,0.17,N/A,0.04,N/A
2016,Listeriosis,1,0.19,N/A,0.65,N/A
2016,Lyme Disease,4,0.7,N/A,2.84,N/A
2016,Measles,0,0,N/A,0.05,N/A
2016,Tularemia,0,0,N/A,0,N/A
2016,Typhoid Fever/Paratyphoid Fever,1,0.19,N/A,0.73,N/A
2016,Verotoxin-producing E. coli,7,1.24,N/A,1.26,N/A
2016,Yersiniosis,11,1.98,N/A,1.87,N/A
2016,"Meningococcal disease, invasive",0,0,N/A,0.2,N/A
2016,Mpox,0,0,N/A,0,N/A
2016,Mumps,1,0.17,N/A,0.29,N/A
2016,Ophthalmia Neonatorum,0,0,N/A,0.03,N/A
2016,Paralytic Shellfish Poisoning,0,0,N/A,0,N/A
2016,Pertussis,13,2.26,N/A,3.43,N/A
2016,Poliomyelitis (polio) and Acute Flaccid Paralysis,1,0.18,N/A,0.05,N/A
2016,Powassan Virus,0,0,N/A,0,N/A
2016,Psittacosis/Ornithosis,0,0,N/A,0,N/A
2016,Q Fever,1,0.2,N/A,0.06,N/A
2016,Rabies,0,0,N/A,0,N/A
2016,Rubella,0,0,N/A,0,N/A
2016,"Rubella, congenital syndrome",0,0,N/A,0,N/A
2016,Salmonellosis,126,22.63,N/A,22.41,N/A
2016,Severe acute respiratory syndrome (SARS),0,0,N/A,0,N/A
2016,Shigellosis,9,1.61,N/A,2.65,N/A
2016,Smallpox,0,0,N/A,0,N/A
2016,"Streptococcus Pneumoniae, Invasive ",56,10.45,N/A,7.45,N/A
2016,Syphilis - Early Congenital,0,0,N/A,0.01,N/A
2016,Syphilis - Infectious,18,3.26,N/A,10.68,N/A
2016,Syphilis - Late Latent,18,3.28,N/A,4.92,N/A
2016,Tetanus,0,0,N/A,0.01,N/A
2016,Trichinosis,0,0,N/A,0.05,N/A
2016,Tuberculosis (active),11,2.03,N/A,4.46,N/A
2016,Tuberculosis (latent),321,57.01,N/A,57.79,N/A
2016,Syphilis - Other,3,0.54,N/A,0.39,N/A
2016,West Nile virus (WNv),0,0,N/A,0.39,N/A
