Year,Disease,Age Group,WR Count,WR Crude Rate per 100000,WR 5 Year Average Rate,ON Crude Rate per 100000,ON 5 Year Average Rate
2015,AIDS,00-09,0,0.00,N/A,0.00,N/A
2015,Amebiasis,00-09,1,1.58,N/A,2.45,N/A
2015,Anaplasmosis,00-09,0,0.00,N/A,0.00,N/A
2015,Anthrax,00-09,0,0.00,N/A,0.00,N/A
2015,Babesiosis,00-09,0,0.00,N/A,0.00,N/A
2015,Blastomycosis,00-09,0,0.00,N/A,0.00,N/A
2015,Botulism,00-09,0,0.00,N/A,0.34,N/A
2015,Brucellosis,00-09,0,0.00,N/A,0.00,N/A
2015,Campylobacter enteritis,00-09,15,23.76,N/A,21.40,N/A
2015,Chancroid,00-09,0,0.00,N/A,0.00,N/A
2015,Chickenpox (Varicella),00-09,4,6.34,N/A,5.79,N/A
2015,Chlamydia,00-09,0,0.00,N/A,0.20,N/A
2015,Cholera,00-09,0,0.00,N/A,0.00,N/A
2015,Creutzfeldt-Jakob Disease,00-09,0,0.00,N/A,0.00,N/A
2015,Cryptosporidiosis,00-09,3,4.75,N/A,6.07,N/A
2015,Cyclosporiasis,00-09,0,0.00,N/A,0.20,N/A
2015,Diphtheria,00-09,0,0.00,N/A,0.00,N/A
2015,Food Poisoning (all causes),00-09,0,0.00,N/A,0.07,N/A
2015,Carbapenemase-producing Enterobacteriaceae (CPE),00-09,0,0.00,N/A,0.00,N/A
2015,Encephalitis/Meningitis,00-09,4,6.34,N/A,10.36,N/A
2015,Giardiasis,00-09,5,7.92,N/A,11.04,N/A
2015,Gonorrhea,00-09,0,0.00,N/A,0.20,N/A
2015,"Group A Streptococcal disease, invasive",00-09,2,3.17,N/A,3.95,N/A
2015,"Group B Streptococcal disease, neonatal",00-09,2,3.17,N/A,2.73,N/A
2015,"Haemophilus influenzae disease, all types",00-09,0,0.00,N/A,0.34,N/A
2015,Hantavirus pulmonary syndrome,00-09,0,0.00,N/A,0.00,N/A
2015,Hemorrhagic fevers and Lassa fever,00-09,0,0.00,N/A,0.00,N/A
2015,Hepatitis A,00-09,0,0.00,N/A,0.61,N/A
2015,Hepatitis B (acute),00-09,0,0.00,N/A,0.00,N/A
2015,Hepatitis B (chronic),00-09,0,0.00,N/A,0.89,N/A
2015,Hepatitis C,00-09,2,3.17,N/A,1.23,N/A
2015,HIV,00-09,0,0.00,N/A,0.20,N/A
2015,Influenza,00-09,49,77.61,N/A,86.43,N/A
2015,Legionellosis,00-09,0,0.00,N/A,0.07,N/A
2015,Leprosy,00-09,0,0.00,N/A,0.00,N/A
2015,Listeriosis,00-09,0,0.00,N/A,0.07,N/A
2015,Lyme Disease,00-09,0,0.00,N/A,3.20,N/A
2015,Measles,00-09,0,0.00,N/A,0.34,N/A
2015,Tularemia,00-09,0,0.00,N/A,0.00,N/A
2015,Typhoid Fever/Paratyphoid Fever,00-09,0,0.00,N/A,1.43,N/A
2015,Verotoxin-producing E. coli,00-09,4,6.34,N/A,3.68,N/A
2015,Yersiniosis,00-09,2,3.17,N/A,5.32,N/A
2015,"Meningococcal disease, invasive",00-09,1,1.58,N/A,0.27,N/A
2015,Mpox,00-09,0,0.00,N/A,0.00,N/A
2015,Mumps,00-09,0,0.00,N/A,0.14,N/A
2015,Ophthalmia Neonatorum,00-09,0,0.00,N/A,0.20,N/A
2015,Paralytic Shellfish Poisoning,00-09,0,0.00,N/A,0.00,N/A
2015,Pertussis,00-09,11,17.42,N/A,25.49,N/A
2015,Poliomyelitis (polio) and Acute Flaccid Paralysis,00-09,0,0.00,N/A,0.07,N/A
2015,Powassan Virus,00-09,0,0.00,N/A,0.00,N/A
2015,Psittacosis/Ornithosis,00-09,0,0.00,N/A,0.00,N/A
2015,Q Fever,00-09,0,0.00,N/A,0.00,N/A
2015,Rabies,00-09,0,0.00,N/A,0.00,N/A
2015,Rubella,00-09,0,0.00,N/A,0.00,N/A
2015,"Rubella, congenital syndrome",00-09,0,0.00,N/A,0.07,N/A
2015,Salmonellosis,00-09,11,17.42,N/A,44.03,N/A
2015,Severe acute respiratory syndrome (SARS),00-09,0,0.00,N/A,0.00,N/A
2015,Shigellosis,00-09,0,0.00,N/A,2.45,N/A
2015,Smallpox,00-09,0,0.00,N/A,0.00,N/A
2015,"Streptococcus Pneumoniae, Invasive ",00-09,2,3.17,N/A,4.70,N/A
2015,Syphilis - Early Congenital,00-09,0,0.00,N/A,0.14,N/A
2015,Syphilis - Infectious,00-09,0,0.00,N/A,0.00,N/A
2015,Syphilis - Late Latent,00-09,0,0.00,N/A,0.00,N/A
2015,Tetanus,00-09,0,0.00,N/A,0.07,N/A
2015,Trichinosis,00-09,0,0.00,N/A,0.00,N/A
2015,Tuberculosis (active),00-09,0,0.00,N/A,0.68,N/A
2015,Tuberculosis (latent),00-09,2,3.17,N/A,6.34,N/A
2015,Syphilis - Other,00-09,0,0.00,N/A,0.07,N/A
2015,West Nile virus (WNv),00-09,0,0.00,N/A,0.07,N/A
2015,AIDS,10-19,0,0.00,N/A,0.13,N/A
2015,Amebiasis,10-19,4,6.03,N/A,1.75,N/A
2015,Anaplasmosis,10-19,0,0.00,N/A,0.00,N/A
2015,Anthrax,10-19,0,0.00,N/A,0.00,N/A
2015,Babesiosis,10-19,0,0.00,N/A,0.00,N/A
2015,Blastomycosis,10-19,0,0.00,N/A,0.00,N/A
2015,Botulism,10-19,0,0.00,N/A,0.00,N/A
2015,Brucellosis,10-19,0,0.00,N/A,0.00,N/A
2015,Campylobacter enteritis,10-19,10,15.08,N/A,18.00,N/A
2015,Chancroid,10-19,0,0.00,N/A,0.00,N/A
2015,Chickenpox (Varicella),10-19,1,1.51,N/A,5.56,N/A
2015,Chlamydia,10-19,255,384.53,N/A,435.34,N/A
2015,Cholera,10-19,0,0.00,N/A,0.00,N/A
2015,Creutzfeldt-Jakob Disease,10-19,0,0.00,N/A,0.00,N/A
2015,Cryptosporidiosis,10-19,2,3.02,N/A,4.88,N/A
2015,Cyclosporiasis,10-19,1,1.51,N/A,0.63,N/A
2015,Diphtheria,10-19,0,0.00,N/A,0.00,N/A
2015,Food Poisoning (all causes),10-19,0,0.00,N/A,0.13,N/A
2015,Carbapenemase-producing Enterobacteriaceae (CPE),10-19,0,0.00,N/A,0.00,N/A
2015,Encephalitis/Meningitis,10-19,1,1.51,N/A,1.56,N/A
2015,Giardiasis,10-19,2,3.02,N/A,5.31,N/A
2015,Gonorrhea,10-19,25,37.70,N/A,39.45,N/A
2015,"Group A Streptococcal disease, invasive",10-19,0,0.00,N/A,0.94,N/A
2015,"Group B Streptococcal disease, neonatal",10-19,0,0.00,N/A,0.00,N/A
2015,"Haemophilus influenzae disease, all types",10-19,0,0.00,N/A,0.00,N/A
2015,Hantavirus pulmonary syndrome,10-19,0,0.00,N/A,0.00,N/A
2015,Hemorrhagic fevers and Lassa fever,10-19,0,0.00,N/A,0.00,N/A
2015,Hepatitis A,10-19,0,0.00,N/A,1.13,N/A
2015,Hepatitis B (acute),10-19,0,0.00,N/A,0.00,N/A
2015,Hepatitis B (chronic),10-19,4,6.03,N/A,1.81,N/A
2015,Hepatitis C,10-19,4,6.03,N/A,6.00,N/A
2015,HIV,10-19,1,1.51,N/A,1.44,N/A
2015,Influenza,10-19,19,28.65,N/A,23.69,N/A
2015,Legionellosis,10-19,0,0.00,N/A,0.06,N/A
2015,Leprosy,10-19,0,0.00,N/A,0.00,N/A
2015,Listeriosis,10-19,0,0.00,N/A,0.06,N/A
2015,Lyme Disease,10-19,1,1.51,N/A,1.50,N/A
2015,Measles,10-19,0,0.00,N/A,0.19,N/A
2015,Tularemia,10-19,0,0.00,N/A,0.00,N/A
2015,Typhoid Fever/Paratyphoid Fever,10-19,1,1.51,N/A,1.75,N/A
2015,Verotoxin-producing E. coli,10-19,1,1.51,N/A,2.06,N/A
2015,Yersiniosis,10-19,0,0.00,N/A,1.38,N/A
2015,"Meningococcal disease, invasive",10-19,0,0.00,N/A,0.25,N/A
2015,Mpox,10-19,0,0.00,N/A,0.00,N/A
2015,Mumps,10-19,0,0.00,N/A,1.31,N/A
2015,Ophthalmia Neonatorum,10-19,0,0.00,N/A,0.00,N/A
2015,Paralytic Shellfish Poisoning,10-19,0,0.00,N/A,0.00,N/A
2015,Pertussis,10-19,7,10.56,N/A,10.63,N/A
2015,Poliomyelitis (polio) and Acute Flaccid Paralysis,10-19,0,0.00,N/A,0.13,N/A
2015,Powassan Virus,10-19,0,0.00,N/A,0.00,N/A
