Year,Disease,Gender,WR Count,WR Crude Rate per 100000,WR 5 Year Average Rate,ON Crude Rate per 100000,ON 5 Year Average Rate
2015,AIDS,Male,2,0.74,N/A,0.79,N/A
2015,Amebiasis,Male,24,8.88,N/A,9.00,N/A
2015,Anaplasmosis,Male,0,0.00,N/A,0.00,N/A
2015,Anthrax,Male,0,0.00,N/A,0.00,N/A
2015,Babesiosis,Male,0,0.00,N/A,0.00,N/A
2015,Blastomycosis,Male,0,0.00,N/A,0.00,N/A
2015,Botulism,Male,0,0.00,N/A,0.04,N/A
2015,Brucellosis,Male,0,0.00,N/A,0.04,N/A
2015,Campylobacter enteritis,Male,80,29.61,N/A,26.83,N/A
2015,Chancroid,Male,0,0.00,N/A,0.00,N/A
2015,Chickenpox (Varicella),Male,7,2.59,N/A,2.49,N/A
2015,Chlamydia,Male,547,202.44,N/A,229.02,N/A
2015,Cholera,Male,0,0.00,N/A,0.00,N/A
2015,Creutzfeldt-Jakob Disease,Male,0,0.00,N/A,0.09,N/A
2015,Cryptosporidiosis,Male,8,2.96,N/A,2.71,N/A
2015,Cyclosporiasis,Male,6,2.22,N/A,1.59,N/A
2015,Diphtheria,Male,0,0.00,N/A,0.00,N/A
2015,Food Poisoning (all causes),Male,0,0.00,N/A,0.21,N/A
2015,Carbapenemase-producing Enterobacteriaceae (CPE),Male,0,0.00,N/A,0.00,N/A
2015,Encephalitis/Meningitis,Male,6,2.22,N/A,3.28,N/A
2015,Giardiasis,Male,35,12.95,N/A,13.21,N/A
2015,Gonorrhea,Male,129,47.74,N/A,58.48,N/A
2015,"Group A Streptococcal disease, invasive",Male,13,4.81,N/A,4.61,N/A
2015,"Group B Streptococcal disease, neonatal",Male,0,0.00,N/A,0.31,N/A
2015,"Haemophilus influenzae disease, all types",Male,0,0.00,N/A,0.07,N/A
2015,Hantavirus pulmonary syndrome,Male,0,0.00,N/A,0.00,N/A
2015,Hemorrhagic fevers and Lassa fever,Male,0,0.00,N/A,0.00,N/A
2015,Hepatitis A,Male,0,0.00,N/A,0.56,N/A
2015,Hepatitis B (acute),Male,1,0.37,N/A,0.84,N/A
2015,Hepatitis B (chronic),Male,37,13.69,N/A,16.54,N/A
2015,Hepatitis C,Male,74,27.39,N/A,40.13,N/A
2015,HIV,Male,13,4.81,N/A,9.20,N/A
2015,Influenza,Male,163,60.32,N/A,63.27,N/A
2015,Legionellosis,Male,4,1.48,N/A,1.20,N/A
2015,Leprosy,Male,0,0.00,N/A,0.01,N/A
2015,Listeriosis,Male,0,0.00,N/A,0.39,N/A
2015,Lyme Disease,Male,6,2.22,N/A,3.71,N/A
2015,Measles,Male,0,0.00,N/A,0.15,N/A
2015,Tularemia,Male,0,0.00,N/A,0.01,N/A
2015,Typhoid Fever/Paratyphoid Fever,Male,1,0.37,N/A,0.74,N/A
2015,Verotoxin-producing E. coli,Male,3,1.11,N/A,1.16,N/A
2015,Yersiniosis,Male,2,0.74,N/A,1.72,N/A
