X,Y,OBJECTID,PARCELID,PROPERTY_UNIT,WARDID,PLANNINGCOMMUNITYID,NEIGHBOURHOOD_ASSOCIATIONID,ADDRESS,APPLICATION_NO,STATUS,APPLICANT,PROPERTY_OWNER,FOLDERRSN,FOLDERYEAR,FOLDERNAME,FOLDERTYPE,SUBTYPE,PRIMARY_PROPERTY,ISSUED_BY,DESCRIPTION,COMBINED_APPLICATION,INDATE,PUBLIC_STATUS_UPDATE,PSI_MTG_DATE,DSD_MTG_DATE,NHBD_MTG_DATE,NHBD_SA_MTG_DATE,COUNCIL_MEETING_DATE,DRAFT_APPROVAL_DATE,REGIONAL_APPROVAL_DATE,REMOVAL_DATE,FINAL_DATE,HIGHLIGHT_APP,EXISTING_OPA_LANDUSE,PROPOSED_OPA_LANDUSE,EXISTING_ZONING,PROPOSED_ZONING,EXISTING_LANDUSE,PROPOSED_LANDUSE,PROP_MAX_RES_UNITS_INCIR,PROP_MAX_RES_UNITS_DA,PROPOSED_COMMERCIAL_HA,PROPOSED_INSTITUTIONAL_HA,PROPOSED_PARKLAND_HA,PROP_SIZE_HA,CONTACT_EMAIL,CONTACT_PHONE,CONTACT_TTY,PUBLIC_STATUS_DESC,AMANDA_STATUS_DESC,IMAGE_DESCR,IMAGE_LINK,THUMBNAIL_LINK,SORTID,GlobalID
541961.6513,4809599.0999,1,50026085,1000285,9,5,7750,321  COURTLAND AVE E,OP19/002/C/GS,Adopted,GSP GROUP INC,321 COURTLAND AVE DEVELOPMENTS INC,551335,19,Auburn Schneiders OPA,Official Plan Amendment,Combined,1000285,"Craig Dumart, MCIP, RPP","An Official Plan Amendment is requested to implement new land use permissions for the proposed development.  The existing land use designation for the subject lands is General Industrial with a site specific policy in the Mill Courtland Woodside Park Secondary Plan.  An amendment is requested to change the land use designations to Mixed Use, High Density Multiple Residential, and Neighbourhood Park. ",30T-19201 & OPA19/002/C/GS,2019/05/28 00:00:00+00,"Council approved the proposed Plan of Subdivision, Zoning By-law Amendment and Official Plan Amendment at the June 26, 2023 Council Meeting. For more information please visit: Kitchener.ca/meetings",06/19/2023,,08/24/2022,,06/26/2023,,,,,No,General Industrial,Mixed Use and High Density Residential,,,"Vacant - all buildings removed except for warehouse, six storey office, and garage buildings (which will all be repurposed for employment uses)",mixed use and residential,,,,,,10.3,Craig.Dumart@kitchener.ca,519-741-2426,1-866-969-9994,Adopted,Adopted,Status is Step 4:Council Decision Communicated,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/ImagePublicStatusStep4.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Thumbnail_551335.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Supporting_Documents_List_551335.pdf,89e7237b-c3f5-40ce-9842-93a6350c90bf
541850.6453,4814966.0753,2,50042495,1000683,1,48,0,104  WOOLWICH ST,OP18/007/W/AP,In Circulation,GSP GROUP INC,"1238455 ONTARIO LIMITED, 1238455 ONTARIO LIMITED, 1238455 ONTARIO LIMITED, 1238455 ONTARIO LIMITED",522385,18,104 WOOLWICH ST,Official Plan Amendment,Combined,1000685,"Andrew Pinnell, MCIP, RPP","The proposed change to the Official Plan and Zoning By-law would allow the construction of two, 3.5-storey multiple dwellings (stacked townhouses) with 24 dwelling units each (total of 48 dwelling units).",ZBA18/009/W/AP,2018/10/05 00:00:00+00,The project has some technical issues. Applicant is preparing revised plans.,,,,,,,,,,No,Low Rise Residential,Low Rise Residential with Site-Specific Policy to allow an FSR of up to 0.9,,,Vacant / Single Detached Dwelling,Multiple Dwelling (Stacked Townhouses),,,,,,0.551,Andrew.Pinnell@kitchener.ca,519-741-2426,1-866-969-9994,In Circulation,In Circulation,Status is Step 1:Notice of development sent and feedback requested,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/ImagePublicStatusStep1.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Thumbnail_522385.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Supporting_Documents_List_522385.pdf,bdf5e6a4-b3aa-4fe8-9696-0bb226747da9
541065.8134,4811101.3524,3,50000107,1053892,11,1,7905,200  KING ST W,ZBA23/035/K/KA,Passed,CITY OF KITCHENER,CITY OF KITCHENER,697785,23,200 KING ST W,Zoning By-Law Amendment,Combined,1053892,"Katie Anderl, MCIP, RPP","City Initiated Project to enact zoning regulations which may allow 4 dwelling units on any lot which may permit singles, semis or street fronting townhouses. C/R OPA23/020/K/KA ",OPA/23/020/K/KA,2023/11/07 00:00:00+00,"This application has been approved by Kitchener City Council on March 25, 2024. If you have any questions or require further clarification regarding appeals, please see https://olt.gov.on.ca/ or connect with the listed City Planning Contact. If you wish to be notified of the decision of the City of Kitchener with respect to these applications, you must make a written request to City Clerk, Legislative Services, 200 King Street West, P.O. Box 1118, Kitchener, Ontario, N2G 4G7.",03/25/2024,,01/17/2024,,03/25/2024,,,,,No,,,,,,,,,,,,,Katie.Anderl@kitchener.ca,519-741-2426,1-866-969-9994,Passed,Passed,Status is Step 4:Council Decision Communicated,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/ImagePublicStatusStep4.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Thumbnail_697785.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Supporting_Documents_List_697785.pdf,bfc7650e-b846-4faf-b148-ee676f96d1e7
541065.8134,4811101.3524,4,50000107,1053892,11,1,7905,200  KING ST W,ZBA24/025/K/KA,Issue Review,,CITY OF KITCHENER,728909,24,Annual Zoning By-law Update,Zoning By-Law Amendment,Standard,1053892,"Katie Anderl, MCIP, RPP",Annual Zoning By-law Update.  City-wide amendments to Zoning By-law 85-1 and 2019-051.,,2024/10/16 00:00:00+00,The City of Kitchener is proposing minor updates and revisions to the existing Zoning By-law 85-1 and existing Zoning By-law 2019-051 through our annual Zoning By-law Update. ,,,,,,,,,,Yes,,,,,,,,,,,,,Katie.Anderl@kitchener.ca,519-741-2426,1-866-969-9994,Issue Review,Issue Review,Status is Step 3:Staff consolidating feedback and preparing recommendation,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/ImagePublicStatusStep3.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Thumbnail_Image_Coming_Soon.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Supporting_Documents_List_728909.pdf,792edf00-3a82-467a-a10e-f04675349a1b
540620.773,4805475.1324,5,50044015,1023049,5,54,7754,1385  BLEAMS RD,ZBA23/001/B/BB,Closed,POLOCORP INC.,IOAN SOLOMES ,673519,23,1385 BLEAMS RD,Zoning By-Law Amendment,Standard,1023049,"Brian Bateman, MCIP, RPP",The applicant is proposing to change the A-1 zoning to Res-6 to allow for a medium rise residential development.,,2023/02/03 00:00:00+00,Zoning By-law is in effect.,04/24/2023,,03/09/2023,,04/24/2023,,,20241227,2023/12/27 00:00:00+00,No,,,A-1,,Residential,multiples - townhouses,,,,,,,Brian.Bateman@kitchener.ca,519-741-2426,1-866-969-9994,Closed,Closed,Status:This application has received final approval and is closed,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/ImagePublicStatusApproved.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Thumbnail_673519.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Supporting_Documents_List_673519.pdf,c2f4a06e-c9dc-4f40-a7fc-d801afb00241
540142.6188,4810625.5288,6,50006533,1017930,9,8,7731,200  VICTORIA ST S,OPA24/004/V/TD,Recommendation,CITY OF KITCHENER,1260848 ONTARIO INC,708859,24,200 VICTORIA ST S,Official Plan Amendment,Minor,1017930,Tim Donegani,City-initiated application - purpose is exempt the property from inclusionary zoning for five years.  Cross-reference ZBA24/007/V/TD.,,2024/03/20 00:00:00+00,,,,,,03/25/2024,,07/23/2024,,,,,,,,,,,,,,,,Tim.Donegani@kitchener.ca,519-741-2426,1-866-969-9994,Recommendation,Recommendation,Status is Step 3:Staff consolidating feedback and preparing recommendation,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/ImagePublicStatusStep3.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Thumbnail_Image_Coming_Soon.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Supporting_Documents_List_No_Documents.pdf,770f90ea-fe88-4503-ac88-04f970ecce72
541849.8174,4810651.8912,7,50026207,1004739,10,3,7905,15  CEDAR ST N,ZBA23/020/C/TS,Closed,PATTERSON PLANNING CONSULTANTS INC.,NIMBELL HOLDINGS INC,686100,23,15 CEDAR ST N,Zoning By-Law Amendment,Removal of Holding Provision,1004739,"Tim Seyler, MCIP, RPP",To remove Holding Provision 15H.,No,2023/06/27 00:00:00+00,"This application has been approved, and the file is now closed.",08/14/2023,,,,08/28/2023,,,20241227,2023/12/27 00:00:00+00,No,Mixed Use Corridor,,"MU-2, 15H",,Vacant,Multiple Dwelling (10 Units),,,,,,,Tim.Seyler@kitchener.ca,519-741-2426,1-866-969-9994,Closed,Closed,Status:This application has received final approval and is closed,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/ImagePublicStatusApproved.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Thumbnail_686100.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Supporting_Documents_List_No_Documents.pdf,512ff66f-815d-4941-b091-568d3cc1b9df
547384.1446,4808170.655,8,50044616,1042933,2,35,7746,7  MORRISON RD,ZBA22/024/M/BB,Under Review,MHBC PLANNING,KLONDIKE HOMES LTD,666806,22,7 MORRISON RD,Zoning By-Law Amendment,Combined,1042933,"Brian Bateman, MCIP, RPP","The applicant is requesting a ZBA for the floor space ratio, parking, height and reduced rear yard setback in order to develop the property with 32 unit stacked townhouses. C/R OPA22/013/M/BB.",,2022/10/14 00:00:00+00,"The Statutory Public Meeting for this application has been scheduled for the Planning and Strategic Initiatives Committee meeting on April 4, 2023. For more information, please see www.kitchener.ca/meetings. If you would like to speak to this item, please register at www.kitchener.ca/delegation. If you have any questions on this application, please reach out to the File Planner (City Planning Contact listed below).  If a person or public body does not make oral submissions at a public meeting or make written submissions to the City prior to the approval of a development, a Tribunal may dismiss an appeal made in relation to the applications. If you have any questions or require further clarification regarding appeals, please see https://olt.gov.on.ca/ or connect with the listed City Planning Contact.",,,,,,,,,,No,,,,,,,,,,,,,Brian.Bateman@kitchener.ca,519-741-2426,1-866-969-9994,Under Review,Under Review,Status is Step 1:Notice of development sent and feedback requested,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/ImagePublicStatusStep1.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Thumbnail_666806.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Supporting_Documents_List_666806.pdf,3a227325-c52a-4d2f-87d7-fb1706045df3
541631.8125,4810297.8504,9,50040820,1018434,9,4,7749,95  CEDAR ST S,ZBA21/022/C/KA,Passed,MHBC PLANNING,ST GEORGE INC,641614,21,95-101 CEDAR ST S,Zoning By-Law Amendment,Combined,1018434,"Katie Anderl, MCIP, RPP",To change the zoning from R-5 to R-7 with special regulation provisions allow redevelopment of lands with a 24 unit stacked townhouse complex. (C/R OPA21/013/C/KA),OPA21/013/C/KA,2021/12/23 00:00:00+00,This application was been approved.,08/08/2022,,03/29/2022,,08/22/2022,,,,,No,Low Rise Conservation,,R-5,,residential ,multiple residential,,,,,,,Katie.Anderl@kitchener.ca,519-741-2426,1-866-969-9994,Passed,Passed,Status is Step 4:Council Decision Communicated,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/ImagePublicStatusStep4.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Thumbnail_641614.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Supporting_Documents_List_641614.pdf,bb2a88b1-0d9a-46f8-8355-000237d40958
540267.9942,4806004.8292,10,55085851,40256030,5,28,7754,265  COTTON GRASS ST,ZBA23/021/C/KA,Closed,SCHLEGEL URBAN DEVELOPMENTS INC,SCHLEGEL URBAN DEVELOPMENTS CORP,687408,23,265 COTTON GRASS ST,Zoning By-Law Amendment,Removal of Holding Provision,40256030,"Katie Anderl, MCIP, RPP",Application to remove a holding provision.,,2023/07/13 00:00:00+00,This application is approved and the file is now closed.,08/28/2023,,,,08/28/2023,,,20241227,2023/12/27 00:00:00+00,,,,,,,,,,,,,,Katie.Anderl@kitchener.ca,519-741-2426,1-866-969-9994,Closed,Closed,Status:This application has received final approval and is closed,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/ImagePublicStatusApproved.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Thumbnail_687408.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Supporting_Documents_List_No_Documents.pdf,4a3995ab-1916-4c5e-b2f4-2db2fcbffa15
