OBJECTID,SANDRAINAGEAREAID,LAYER,LEVEL_NUM,LEVEL_NAME,LEVEL1,LEVEL2,LEVEL3,LEVEL4,DRAIN_FLOW,CATEGORY,SUBCATEGORY,STATUS,SOURCE,SOURCE_DATE,Shape__Area,Shape__Length
1074,2090812,Level 1_Gateway Park,1,GATEWAY PARK, , , , ,NOT YET DETERMINED,MAIN AND SUB AREA,Gateway Park,ACTIVE,ENGINEERING,5/15/2014 12:00:00 AM,4185658.359375,11430.3403486032
1075,2090813,Level 1_Pioneer Tower West,1,PIONEER TOWER WEST, , , , ,NOT YET DETERMINED,MAIN AND SUB AREA,Pioneer Tower West,ACTIVE,ENGINEERING,5/15/2014 12:00:00 AM,9594674.7421875,16600.8211035639
1076,2090815,Level 1_Melitzer,1,MELITZER, , , , ,NOT YET DETERMINED,MAIN AND SUB AREA,Melitzer,ACTIVE,ENGINEERING,5/15/2014 12:00:00 AM,4574231.8359375,9774.83606847163
1077,2090816,Level 1_Bridgeport,1,BRIDGEPORT, , , , ,NOT YET DETERMINED,MAIN AND SUB AREA,Bridgeport,ACTIVE,ENGINEERING,5/15/2014 12:00:00 AM,8571507.25390625,24641.6126534253
1078,2090852,Level 2_Upper Schneider,2,UPPER SCHNEIDER,Schneider,, , ,Schneider < Upper Schneider <,MAIN AREA,,ACTIVE,ENGINEERING,5/15/2014 12:00:00 AM,73502713.8007813,51601.5481169923
1079,2090846,Level 4_Ottawa,4,MONTGOMERY - OTTAWA,Schneider,Montgomery,Manchester, ,Schneider < Montgomery < Manchester <,INTERMEDIATE AREA, ,ACTIVE,ENGINEERING,5/15/2014 12:00:00 AM,19640018.5664063,31059.8971114119
1080,2090848,Level 3_Manchester,3,MONTGOMERY - MANCHESTER,Schneider,Montgomery,, ,Schneider < Montgomery <,INTERMEDIATE AREA, ,ACTIVE,ENGINEERING,5/15/2014 12:00:00 AM,43078332.3164063,49964.0436405699
1081,2090847,Level 3_Spring Valley,3,MONTGOMERY - SPRING VALLEY,Schneider,Montgomery,, ,Schneider < Montgomery <,INTERMEDIATE AREA,,ACTIVE,ENGINEERING,5/15/2014 12:00:00 AM,10822230.3085938,21062.8010000585
1082,2090849,Level 2_Montgomery,2,MONTGOMERY,Schneider,,, ,Schneider <,MAIN AREA, ,ACTIVE,ENGINEERING,5/15/2014 12:00:00 AM,73682466.5234375,74292.3314268781
1083,2090830,Level 1_Schneider,1,SCHNEIDER,,, , ,,SUPER AREA,,ACTIVE,ENGINEERING,5/15/2014 12:00:00 AM,243422020.300781,101586.01364113
